"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R48","R0603_-SMT","19.05mm","32.6mm","19mm","32.6mm","19.8mm","32.6mm","T","180.00","330R"
"U1","DDA8_3P1X2P4-M","46.6mm","46.2mm","46.6mm","46.2mm","43.9838mm","48.105mm","T","0.00","TPS54360DDA"
"U2","TPD4E001_DBV","14.05mm","4.6824mm","15mm","5.8mm","15mm","5.8mm","T","270.00","TPD4E001"
"U3","SOT223-4N","45.2mm","34mm","45.2mm","34mm","42.3mm","36.3mm","T","360.00","TLV1117-33CDCYR"
"U4","DDA8_3P1X2P4-M","34.7mm","34mm","34.7mm","34mm","32.0838mm","35.905mm","T","360.00","XL7005E"
"U5","LQFP48-B","50.8mm","19.6mm","50.8mm","19.6mm","48.05mm","15.35mm","T","90.00","STM32F101C8T6"
"U6","SOT_363_6","75.6897mm","13.45mm","74.6mm","12.8mm","76.7794mm","12.8mm","T","180.00","SMF05C"
"U7","SO-8","37mm","20.2mm","37mm","20.2mm","34.6mm","22.105mm","T","360.00","AT24C256"
"U8","SO-8_208","64.8mm","8.8mm","64.8mm","8.8mm","60.85mm","10.705mm","T","360.00","W25Q32JVSSIQ"
"U9","SOP-4-B","15.4mm","28.6mm","15.4mm","28.6mm","11mm","29.945mm","T","360.00","PC817"
"U11","SOP-4-B","19mm","36.4mm","19mm","36.4mm","23.4mm","35.055mm","T","180.00","PC817"
"USB1","USB_B_MINI_SMD","6.0028mm","9.4273mm","9mm","11mm","9mm","11mm","T","90.00","USB_M"
"Y1","ABM7_v1_1_BIG","49.9mm","6.4mm","49.9mm","6.4mm","47.45mm","6.4mm","T","360.00","8MHz"
"Y2","XT-SMD_MC306","41.2mm","6.75mm","39.6mm","9.5mm","39.6mm","9.5mm","T","270.00","32.768kHz"
"J9","Hed2V_3.96","4mm","47mm","4mm","49mm","4mm","49mm","T","270.00","VIN"

